Dummy_Name,Biological_Name
gene_266,ADAD1
gene_267,ADAD2
gene_268,ADAL
gene_269,ADAM10
gene_270,ADAM11
gene_271,ADAM12
gene_272,ADAM15
gene_273,ADAM17
gene_274,ADAM18
gene_275,ADAM19
gene_276,ADAM20
gene_277,ADAM21P1
gene_278,ADAM21
gene_279,ADAM22
gene_280,ADAM23
gene_281,ADAM28
gene_282,ADAM29
gene_283,ADAM2
gene_284,ADAM30
gene_285,ADAM32
gene_286,ADAM33
gene_287,ADAM3A
gene_288,ADAM5P
gene_289,ADAM6
gene_290,ADAM7
gene_291,ADAM8
gene_292,ADAM9
gene_293,ADAMDEC1
gene_294,ADAMTS10
gene_295,ADAMTS12
gene_296,ADAMTS13
gene_297,ADAMTS14
gene_298,ADAMTS15
gene_299,ADAMTS16
gene_300,ADAMTS17
gene_301,ADAMTS18
gene_302,ADAMTS19
gene_303,ADAMTS1
gene_304,ADAMTS20
gene_305,ADAMTS2
gene_306,ADAMTS3
gene_307,ADAMTS4
gene_308,ADAMTS5
gene_309,ADAMTS6
gene_310,ADAMTS7
gene_311,ADAMTS8
gene_312,ADAMTS9
gene_313,ADAMTSL1
gene_314,ADAMTSL2
gene_315,ADAMTSL3
gene_316,ADAMTSL4
gene_317,ADAMTSL5
gene_318,ADAP1
gene_319,ADAP2
gene_320,ADARB1
gene_321,ADARB2
gene_322,ADAR
gene_323,ADAT1
gene_324,ADAT2
gene_325,ADAT3
gene_326,ADA
gene_327,ADCK1
gene_328,ADCK2
gene_329,ADCK4
gene_330,ADCK5
gene_331,ADCY10
gene_332,ADCY1
gene_333,ADCY2
gene_334,ADCY3
gene_335,ADCY4
gene_336,ADCY5
gene_337,ADCY6
gene_338,ADCY7
gene_339,ADCY8
gene_340,ADCY9
gene_341,ADCYAP1R1
gene_342,ADCYAP1
gene_343,ADC
gene_344,ADD1
gene_345,ADD2
gene_346,ADD3
gene_347,ADH1A
gene_348,ADH1B
gene_349,ADH1C
gene_350,ADH4
gene_351,ADH5
gene_352,ADH6
gene_353,ADH7
gene_354,ADHFE1
gene_355,ADI1
gene_356,ADIG
gene_357,ADIPOQ
gene_358,ADIPOR1
gene_359,ADIPOR2
gene_360,ADK
gene_361,ADM2
gene_362,ADM
gene_363,ADNP2
gene_364,ADNP
gene_365,ADORA1
gene_366,ADORA2A
gene_367,ADORA2B
gene_368,ADORA3
gene_369,ADO
gene_370,ADPGK
gene_371,ADPRHL1
gene_372,ADPRHL2
gene_373,ADPRH
gene_374,ADRA1A
gene_375,ADRA1B
gene_376,ADRA1D
gene_377,ADRA2A
gene_378,ADRA2B
gene_379,ADRA2C
gene_380,ADRB1
gene_381,ADRB2
gene_382,ADRB3
gene_383,ADRBK1
gene_384,ADRBK2
gene_385,ADRM1
gene_386,ADSL
gene_387,ADSSL1
gene_388,ADSS
gene_389,AEBP1
gene_390,AEBP2
gene_391,AEN
gene_392,AES
gene_393,AFAP1L1
gene_394,AFAP1L2
gene_395,AFAP1
gene_396,AFARP1
gene_397,AFF1
gene_398,AFF2
gene_399,AFF3
gene_400,AFF4
gene_401,AFG3L1
gene_402,AFG3L2
gene_403,AFMID
gene_404,AFM
gene_405,AFP
gene_406,AFTPH
gene_407,AG2
gene_408,AGAP11
gene_409,AGAP1
gene_410,AGAP2
gene_411,AGAP3
gene_412,AGAP4
gene_413,AGAP5
gene_414,AGAP6
gene_415,AGAP7
gene_416,AGAP8
gene_417,AGA
gene_418,AGBL1
gene_419,AGBL2
gene_420,AGBL3
gene_421,AGBL4
gene_422,AGBL5
gene_423,AGER
gene_424,AGFG1
gene_425,AGFG2
gene_426,AGGF1
gene_427,AGK
gene_428,AGL
gene_429,AGMAT
gene_430,AGPAT1
gene_431,AGPAT2
gene_432,AGPAT3
gene_433,AGPAT4
gene_434,AGPAT5
gene_435,AGPAT6
gene_436,AGPAT9
gene_437,AGPHD1
gene_438,AGPS
gene_439,AGR2
gene_440,AGR3
gene_441,AGRN
gene_442,AGRP
gene_443,AGTPBP1
gene_444,AGTR1
gene_445,AGTR2
gene_446,AGTRAP
gene_447,AGT
gene_448,AGXT2L1
gene_449,AGXT2L2
gene_450,AGXT2
gene_451,AGXT
gene_452,AHCTF1
gene_453,AHCYL1
gene_454,AHCYL2
gene_455,AHCY
gene_456,AHDC1
gene_457,AHI1
gene_458,AHNAK2
gene_459,AHNAK
gene_460,AHRR
gene_461,AHR
gene_462,AHSA1
gene_463,AHSA2
gene_464,AHSG
gene_465,AHSP
gene_466,AICDA
gene_467,AIDA
gene_468,AIF1L
gene_469,AIF1
gene_470,AIFM1
gene_471,AIFM2
gene_472,AIFM3
gene_473,AIG1
gene_474,AIM1L
gene_475,AIM1
gene_476,AIM2
gene_477,AIMP1
gene_478,AIMP2
gene_479,AIPL1
gene_480,AIP
gene_481,AIRE
gene_482,AJAP1
gene_483,AK1
gene_484,AK2
gene_485,AK3L1
gene_486,AK3
gene_487,AK5
gene_488,AK7
gene_489,AKAP10
gene_490,AKAP11
gene_491,AKAP12
gene_492,AKAP13
gene_493,AKAP14
gene_494,AKAP1
gene_495,AKAP2
gene_496,AKAP3
gene_497,AKAP4
gene_498,AKAP5
gene_499,AKAP6
gene_500,AKAP7
gene_501,AKAP8L
gene_502,AKAP8
gene_503,AKAP9
gene_504,AKD1
gene_505,AKIRIN1
gene_506,AKIRIN2
gene_507,AKNAD1
gene_508,AKNA
gene_509,AKR1A1
gene_510,AKR1B10
gene_511,AKR1B15
gene_512,AKR1B1
gene_513,AKR1C1
gene_514,AKR1C2
gene_515,AKR1C3
gene_516,AKR1C4
gene_517,AKR1CL1
gene_518,AKR1D1
gene_519,AKR1E2
gene_520,AKR7A2
gene_521,AKR7A3
gene_522,AKR7L
gene_523,AKT1S1
gene_524,AKT1
gene_525,AKT2
gene_526,AKT3
gene_527,AKTIP
gene_528,ALAD
gene_529,ALAS1
gene_530,ALAS2
gene_531,ALB
gene_532,ALCAM
gene_533,ALDH16A1
gene_534,ALDH18A1
gene_535,ALDH1A1
gene_536,ALDH1A2
gene_537,ALDH1A3
gene_538,ALDH1B1
gene_539,ALDH1L1
gene_540,ALDH1L2
gene_541,ALDH2
gene_542,ALDH3A1
gene_543,ALDH3A2
gene_544,ALDH3B1
gene_545,ALDH3B2
gene_546,ALDH4A1
gene_547,ALDH5A1
gene_548,ALDH6A1
gene_549,ALDH7A1
gene_550,ALDH8A1
gene_551,ALDH9A1
gene_552,ALDOA
gene_553,ALDOB
gene_554,ALDOC
gene_555,ALG10B
gene_556,ALG10
gene_557,ALG11
gene_558,ALG12
gene_559,ALG13
gene_560,ALG14
gene_561,ALG1L2
gene_562,ALG1L
gene_563,ALG1
gene_564,ALG2
gene_565,ALG3
gene_566,ALG5
gene_567,ALG6
gene_568,ALG8
gene_569,ALG9
gene_570,ALKBH1
gene_571,ALKBH2
gene_572,ALKBH3
gene_573,ALKBH4
gene_574,ALKBH5
gene_575,ALKBH6
gene_576,ALKBH7
gene_577,ALKBH8
gene_578,ALK
gene_579,ALLC
gene_580,ALMS1P
gene_581,ALMS1
gene_582,ALOX12B
gene_583,ALOX12P2
gene_584,ALOX12
gene_585,ALOX15B
gene_586,ALOX15
gene_587,ALOX5AP
gene_588,ALOX5
gene_589,ALOXE3
gene_590,ALPI
gene_591,ALPK1
gene_592,ALPK2
gene_593,ALPK3
gene_594,ALPL
gene_595,ALPPL2
gene_596,ALPP
gene_597,ALS2CL
gene_598,ALS2CR11
gene_599,ALS2CR12
gene_600,ALS2CR4
gene_601,ALS2CR8
gene_602,ALS2
gene_603,ALX1
gene_604,ALX3
gene_605,ALX4
gene_606,AMAC1L2
gene_607,AMAC1L3
gene_608,AMAC1
gene_609,AMACR
gene_610,AMBN
gene_611,AMBP
gene_612,AMBRA1
gene_613,AMD1
gene_614,AMDHD1
gene_615,AMDHD2
gene_616,AMELX
gene_617,AMELY
gene_618,AMFR
gene_619,AMHR2
gene_620,AMH
gene_621,AMICA1
gene_622,AMIGO1
gene_623,AMIGO2
gene_624,AMIGO3
gene_625,AMMECR1L
gene_626,AMMECR1
gene_627,AMN1
gene_628,AMN
gene_629,AMOTL1
gene_630,AMOTL2
gene_631,AMOT
gene_632,AMPD1
gene_633,AMPD2
gene_634,AMPD3
gene_635,AMPH
gene_636,AMTN
gene_637,AMT
gene_638,AMY1A
gene_639,AMY2A
gene_640,AMY2B
gene_641,AMZ1
gene_642,AMZ2P1
gene_643,AMZ2
gene_644,ANAPC10
gene_645,ANAPC11
gene_646,ANAPC13
gene_647,ANAPC16
gene_648,ANAPC1
gene_649,ANAPC2
gene_650,ANAPC4
gene_651,ANAPC5
gene_652,ANAPC7
gene_653,ANGEL1
gene_654,ANGEL2
gene_655,ANGPT1
gene_656,ANGPT2
gene_657,ANGPT4
gene_658,ANGPTL1
gene_659,ANGPTL2
gene_660,ANGPTL3
gene_661,ANGPTL4
gene_662,ANGPTL5
gene_663,ANGPTL6
gene_664,ANGPTL7
gene_665,ANG
gene_666,ANK1
gene_667,ANK2
gene_668,ANK3
gene_669,ANKAR
gene_670,ANKDD1A
gene_671,ANKFN1
gene_672,ANKFY1
gene_673,ANKHD1-EIF4EBP3
gene_674,ANKHD1
gene_675,ANKH
gene_676,ANKIB1
gene_677,ANKK1
gene_678,ANKLE1
gene_679,ANKLE2
gene_680,ANKMY1
gene_681,ANKMY2
gene_682,ANKRA2
gene_683,ANKRD10
gene_684,ANKRD11
gene_685,ANKRD12
gene_686,ANKRD13A
gene_687,ANKRD13B
gene_688,ANKRD13C
gene_689,ANKRD13D
gene_690,ANKRD16
gene_691,ANKRD17
gene_692,ANKRD19
gene_693,ANKRD1
gene_694,ANKRD20A3
gene_695,ANKRD20A4
gene_696,ANKRD20B
gene_697,ANKRD22
gene_698,ANKRD23
gene_699,ANKRD24
gene_700,ANKRD26P1
gene_701,ANKRD26
gene_702,ANKRD27
gene_703,ANKRD28
gene_704,ANKRD29
gene_705,ANKRD2
gene_706,ANKRD30A
gene_707,ANKRD30B
gene_708,ANKRD31
gene_709,ANKRD32
gene_710,ANKRD33
gene_711,ANKRD34A
gene_712,ANKRD34B
gene_713,ANKRD34C
gene_714,ANKRD35
gene_715,ANKRD36BP1
gene_716,ANKRD36B
gene_717,ANKRD36
gene_718,ANKRD37
gene_719,ANKRD39
gene_720,ANKRD40
gene_721,ANKRD42
gene_722,ANKRD43
gene_723,ANKRD44
gene_724,ANKRD45
gene_725,ANKRD46
gene_726,ANKRD49
gene_727,ANKRD50
gene_728,ANKRD52
gene_729,ANKRD53
gene_730,ANKRD54
gene_731,ANKRD55
gene_732,ANKRD56
gene_733,ANKRD57
gene_734,ANKRD58
gene_735,ANKRD5
gene_736,ANKRD6
gene_737,ANKRD7
gene_738,ANKRD9
gene_739,ANKS1A
gene_740,ANKS1B
gene_741,ANKS3
gene_742,ANKS4B
gene_743,ANKS6
gene_744,ANKZF1
gene_745,ANLN
gene_746,ANO10
gene_747,ANO1
gene_748,ANO2
gene_749,ANO3
gene_750,ANO4
gene_751,ANO5
gene_752,ANO6
gene_753,ANO7
gene_754,ANO8
gene_755,ANO9
gene_756,ANP32A
gene_757,ANP32B
gene_758,ANP32C
gene_759,ANP32D
gene_760,ANP32E
gene_761,ANPEP
gene_762,ANTXR1
gene_763,ANTXR2
gene_764,ANTXRL
gene_765,ANUBL1
gene_766,ANXA10
gene_767,ANXA11
gene_768,ANXA13
gene_769,ANXA1
gene_770,ANXA2P1
gene_771,ANXA2P2
gene_772,ANXA2P3
gene_773,ANXA2
gene_774,ANXA3
gene_775,ANXA4
gene_776,ANXA5
gene_777,ANXA6
gene_778,ANXA7
gene_779,ANXA8L1
gene_780,ANXA8L2
gene_781,ANXA8
gene_782,ANXA9
gene_783,AOAH
gene_784,AOC2
gene_785,AOC3
gene_786,AOX1
gene_787,AOX2P
gene_788,AP1AR
gene_789,AP1B1
gene_790,AP1G1
gene_791,AP1G2
gene_792,AP1M1
gene_793,AP1M2
gene_794,AP1S1
gene_795,AP1S2
gene_796,AP1S3
gene_797,AP2A1
gene_798,AP2A2
gene_799,AP2B1
gene_800,AP2M1
gene_801,AP2S1
gene_802,AP3B1
gene_803,AP3B2
gene_804,AP3D1
gene_805,AP3M1
gene_806,AP3M2
gene_807,AP3S1
gene_808,AP3S2
gene_809,AP4B1
gene_810,AP4E1
gene_811,AP4M1
gene_812,AP4S1
gene_813,APAF1
gene_814,APBA1
gene_815,APBA2
gene_816,APBA3
gene_817,APBB1IP
gene_818,APBB1
gene_819,APBB2
gene_820,APBB3
gene_821,APC2
gene_822,APCDD1L
gene_823,APCDD1
gene_824,APCS
gene_825,APC
gene_826,APEH
gene_827,APEX1
gene_828,APEX2
gene_829,APH1A
gene_830,APH1B
gene_831,API5
gene_832,APIP
gene_833,APITD1
gene_834,APLF
gene_835,APLNR
gene_836,APLN
gene_837,APLP1
gene_838,APLP2
gene_839,APOA1BP
gene_840,APOA1
gene_841,APOA2
gene_842,APOA4
gene_843,APOA5
gene_844,APOB48R
gene_845,APOBEC1
gene_846,APOBEC2
gene_847,APOBEC3A
gene_848,APOBEC3B
gene_849,APOBEC3C
gene_850,APOBEC3D
gene_851,APOBEC3F
gene_852,APOBEC3G
gene_853,APOBEC3H
gene_854,APOBEC4
gene_855,APOB
gene_856,APOC1P1
gene_857,APOC1
gene_858,APOC2
gene_859,APOC3
gene_860,APOC4
gene_861,APOD
gene_862,APOE
gene_863,APOF
gene_864,APOH
gene_865,APOL1
gene_866,APOL2
gene_867,APOL3
gene_868,APOL4
gene_869,APOL5
gene_870,APOL6
gene_871,APOLD1
gene_872,APOM
gene_873,APOOL
gene_874,APOO
gene_875,APPBP2
gene_876,APPL1
gene_877,APPL2
gene_878,APP
gene_879,APRT
gene_880,APTX
gene_881,AQP10
gene_882,AQP11
gene_883,AQP12A
gene_884,AQP12B
gene_885,AQP1
gene_886,AQP2
gene_887,AQP3
gene_888,AQP4
gene_889,AQP5
gene_890,AQP6
gene_891,AQP7P1
gene_892,AQP7P3
gene_893,AQP7
gene_894,AQP8
gene_895,AQP9
gene_896,AQPEP
gene_897,AQR
gene_898,ARAF
gene_899,ARAP1
gene_900,ARAP2
gene_901,ARAP3
gene_902,ARCN1
gene_903,ARC
gene_904,AREG
gene_905,ARF1
gene_906,ARF3
gene_907,ARF4
gene_908,ARF5
gene_909,ARF6
gene_910,ARFGAP1
gene_911,ARFGAP2
gene_912,ARFGAP3
gene_913,ARFGEF1
gene_914,ARFGEF2
gene_915,ARFIP1
gene_916,ARFIP2
gene_917,ARFRP1
gene_918,ARG1
gene_919,ARG2
gene_920,ARGFXP2
gene_921,ARGFX
gene_922,ARGLU1
gene_923,ARHGAP10
gene_924,ARHGAP11A
gene_925,ARHGAP11B
gene_926,ARHGAP12
gene_927,ARHGAP15
gene_928,ARHGAP17
gene_929,ARHGAP18
gene_930,ARHGAP19
gene_931,ARHGAP1
gene_932,ARHGAP20
gene_933,ARHGAP21
gene_934,ARHGAP22
gene_935,ARHGAP23
gene_936,ARHGAP24
gene_937,ARHGAP25
gene_938,ARHGAP26
gene_939,ARHGAP27
gene_940,ARHGAP28
gene_941,ARHGAP29
gene_942,ARHGAP30
gene_943,ARHGAP31
gene_944,ARHGAP32
gene_945,ARHGAP33
gene_946,ARHGAP36
gene_947,ARHGAP39
gene_948,ARHGAP42
gene_949,ARHGAP4
gene_950,ARHGAP5
gene_951,ARHGAP6
gene_952,ARHGAP8
gene_953,ARHGAP9
gene_954,ARHGDIA
gene_955,ARHGDIB
gene_956,ARHGDIG
gene_957,ARHGEF10L
gene_958,ARHGEF10
gene_959,ARHGEF11
gene_960,ARHGEF12
gene_961,ARHGEF15
gene_962,ARHGEF16
gene_963,ARHGEF17
gene_964,ARHGEF18
gene_965,ARHGEF19
gene_966,ARHGEF1
gene_967,ARHGEF2
gene_968,ARHGEF33
gene_969,ARHGEF35
gene_970,ARHGEF37
gene_971,ARHGEF38
gene_972,ARHGEF3
gene_973,ARHGEF4
gene_974,ARHGEF5
gene_975,ARHGEF6
gene_976,ARHGEF7
gene_977,ARHGEF9
gene_978,ARID1A
gene_979,ARID1B
gene_980,ARID2
gene_981,ARID3A
gene_982,ARID3B
gene_983,ARID3C
gene_984,ARID4A
gene_985,ARID4B
gene_986,ARID5A
gene_987,ARID5B
gene_988,ARIH1
gene_989,ARIH2
gene_990,ARL10
gene_991,ARL11
gene_992,ARL13A
gene_993,ARL13B
gene_994,ARL14
gene_995,ARL15
gene_996,ARL16
gene_997,ARL17A
gene_998,ARL17B
gene_999,ARL1
gene_1000,ARL2BP
gene_1001,ARL2
gene_1002,ARL3
gene_1003,ARL4A
gene_1004,ARL4C
gene_1005,ARL4D
gene_1006,ARL5A
gene_1007,ARL5B
gene_1008,ARL5C
gene_1009,ARL6IP1
gene_1010,ARL6IP4
gene_1011,ARL6IP5
gene_1012,ARL6IP6
gene_1013,ARL6
gene_1014,ARL8A
gene_1015,ARL8B
gene_1016,ARL9
gene_1017,ARMC10
gene_1018,ARMC1
gene_1019,ARMC2
gene_1020,ARMC3
gene_1021,ARMC4
gene_1022,ARMC5
gene_1023,ARMC6
gene_1024,ARMC7
gene_1025,ARMC8
gene_1026,ARMC9
gene_1027,ARMCX1
gene_1028,ARMCX2
gene_1029,ARMCX3
gene_1030,ARMCX5
gene_1031,ARMCX6
gene_1032,ARMS2
gene_1033,ARNT2
gene_1034,ARNTL2
gene_1035,ARNTL
gene_1036,ARNT
gene_1037,ARPC1A
gene_1038,ARPC1B
gene_1039,ARPC2
gene_1040,ARPC3
gene_1041,ARPC4
gene_1042,ARPC5L
gene_1043,ARPC5
gene_1044,ARPM1
gene_1045,ARPP19
gene_1046,ARPP21
gene_1047,ARR3
gene_1048,ARRB1
gene_1049,ARRB2
gene_1050,ARRDC1
gene_1051,ARRDC2
gene_1052,ARRDC3
gene_1053,ARRDC4
gene_1054,ARRDC5
gene_1055,ARSA
gene_1056,ARSB
gene_1057,ARSD
gene_1058,ARSE
gene_1059,ARSF
gene_1060,ARSG
gene_1061,ARSH
gene_1062,ARSI
gene_1063,ARSJ
gene_1064,ARSK
gene_1065,ART1
gene_1066,ART3
gene_1067,ART4
gene_1068,ART5
gene_1069,ARTN
gene_1070,ARV1
gene_1071,ARVCF
gene_1072,ARX
gene_1073,AR
gene_1074,AS3MT
gene_1075,ASAH1
gene_1076,ASAH2B
gene_1077,ASAH2
gene_1078,ASAM
gene_1079,ASAP1IT1
gene_1080,ASAP1
gene_1081,ASAP2
gene_1082,ASAP3
gene_1083,ASB10
gene_1084,ASB11
gene_1085,ASB12
gene_1086,ASB13
gene_1087,ASB14
gene_1088,ASB15
gene_1089,ASB16
gene_1090,ASB17
gene_1091,ASB18
gene_1092,ASB1
gene_1093,ASB2
gene_1094,ASB3
gene_1095,ASB4
gene_1096,ASB5
gene_1097,ASB6
gene_1098,ASB7
gene_1099,ASB8
gene_1100,ASB9
gene_1101,ASCC1
gene_1102,ASCC2
gene_1103,ASCC3
gene_1104,ASCL1
gene_1105,ASCL2
gene_1106,ASCL3
gene_1107,ASCL4
gene_1108,ASF1A
gene_1109,ASF1B
gene_1110,ASFMR1
gene_1111,ASGR1
gene_1112,ASGR2
gene_1113,ASH1L
gene_1114,ASH2L
gene_1115,ASIP
gene_1116,ASL
gene_1117,ASMTL
gene_1118,ASMT
gene_1119,ASNA1
gene_1120,ASNSD1
gene_1121,ASNS
gene_1122,ASPA
gene_1123,ASPDH
gene_1124,ASPG
gene_1125,ASPHD1
gene_1126,ASPHD2
gene_1127,ASPH
gene_1128,ASPM
gene_1129,ASPN
gene_1130,ASPRV1
gene_1131,ASPSCR1
gene_1132,ASRGL1
gene_1133,ASS1
gene_1134,ASTE1
gene_1135,ASTL
gene_1136,ASTN1
gene_1137,ASTN2
gene_1138,ASXL1
gene_1139,ASXL2
gene_1140,ASXL3
gene_1141,ASZ1
gene_1142,ATAD1
gene_1143,ATAD2B
gene_1144,ATAD2
gene_1145,ATAD3A
gene_1146,ATAD3B
gene_1147,ATAD3C
gene_1148,ATAD5
gene_1149,ATCAY
gene_1150,ATE1
gene_1151,ATF1
gene_1152,ATF2
gene_1153,ATF3
gene_1154,ATF4
gene_1155,ATF5
gene_1156,ATF6B
gene_1157,ATF6
gene_1158,ATF7IP2
gene_1159,ATF7IP
gene_1160,ATF7
gene_1161,ATG10
gene_1162,ATG12
gene_1163,ATG16L1
gene_1164,ATG16L2
gene_1165,ATG2A
gene_1166,ATG2B
gene_1167,ATG3
gene_1168,ATG4A
gene_1169,ATG4B
gene_1170,ATG4C
gene_1171,ATG4D
gene_1172,ATG5
gene_1173,ATG7
gene_1174,ATG9A
gene_1175,ATG9B
gene_1176,ATHL1
gene_1177,ATIC
gene_1178,ATL1
gene_1179,ATL2
gene_1180,ATL3
gene_1181,ATMIN
gene_1182,ATM
gene_1183,ATN1
gene_1184,ATOH1
gene_1185,ATOH7
gene_1186,ATOH8
gene_1187,ATOX1
gene_1188,ATP10A
gene_1189,ATP10B
gene_1190,ATP10D
gene_1191,ATP11A
gene_1192,ATP11B
gene_1193,ATP11C
gene_1194,ATP12A
gene_1195,ATP13A1
gene_1196,ATP13A2
gene_1197,ATP13A3
gene_1198,ATP13A4
gene_1199,ATP13A5
gene_1200,ATP1A1
gene_1201,ATP1A2
gene_1202,ATP1A3
gene_1203,ATP1A4
gene_1204,ATP1B1
gene_1205,ATP1B2
gene_1206,ATP1B3
gene_1207,ATP1B4
gene_1208,ATP2A1
gene_1209,ATP2A2
gene_1210,ATP2A3
gene_1211,ATP2B1
gene_1212,ATP2B2
gene_1213,ATP2B3
gene_1214,ATP2B4
gene_1215,ATP2C1
gene_1216,ATP2C2
gene_1217,ATP4A
gene_1218,ATP4B
gene_1219,ATP5A1
gene_1220,ATP5B
gene_1221,ATP5C1
gene_1222,ATP5D
gene_1223,ATP5EP2
gene_1224,ATP5E
gene_1225,ATP5F1
gene_1226,ATP5G1
gene_1227,ATP5G2
gene_1228,ATP5G3
gene_1229,ATP5H
gene_1230,ATP5I
gene_1231,ATP5J2
gene_1232,ATP5J
gene_1233,ATP5L2
gene_1234,ATP5L
gene_1235,ATP5O
gene_1236,ATP5SL
gene_1237,ATP5S
